asin,domain,domain_id,title,new_price,used_price,list_price,discount_percent,validated_at
B0F639HPHT,UK,2,"Keychron B6 Pro Wireless Full-Size Keyboard - ZMK Programmable, Silent Typing, 2.4G/Bluetooth 5.2/USB-C Tri-Mode, Numpad for Office/Gaming (UK Layout)",45.99,43.39,45.99,5.7,2026-02-19T20:42:10.413635+00:00
B0D8SM16B5,UK,2,"LeadsaiL K786 Wireless Keyboard and Mouse Set QWERTZ German Wireless Keyboard with Mouse, Silent Typing, 2.4GHz with Nano USB Receiver 2 in 1 for PC/L",,,,,2026-02-19T20:42:10.413641+00:00
B08DG47ML4,UK,2,"Trust Taro USB Wired Keyboard, Italian Layout QWERTY for PC/Laptop/Notebook, Mac/Windows, ‎Silent Keys, 1.8 Meters Cable, Splash Resistant, Ergonomic,",12.64,,12.64,,2026-02-19T20:42:10.413649+00:00
B0DK9S97CG,UK,2,EMPIRE GAMING - K208 Compact TKL Wired Keyboard (DE-QWERTZ) 69 Keys RGB - Removable USB Type C Cable Plug & Play - PC/PS4/PS5/Xbox - 23 Anti-Ghosting ,,,,,2026-02-19T20:42:15.285942+00:00
B07CWVV6DB,UK,2,"CHERRY KC 6000 SLIM, Ultra-Flat Design Keyboard, German Layout (QWERTZ), Wired (USB-A Connection), Quiet, Durable Key Labelling, Black",47.36,,47.36,,2026-02-19T20:42:15.285966+00:00
B0CQLN55LZ,UK,2,"YINDIAO Ajazz AK820 Mechanical Keyboard with CNC Knob Control,75% ANSI Layout,82Keys Gasket Mount Wired Gaming Keyboard,5 Sound Absorbing Foam,Hot-Swa",45.04,,45.04,,2026-02-19T20:42:15.285975+00:00
B0CBMPXG9B,UK,2,SPIRIT OF GAMER x PRO K1 Wired Semi Mechanical Gaming Keyboard PC Layout QWERTZ German 26 Anti-Ghosting Keys 3 RGB Backlight Modes Slim USB Gaming Key,19.08,,19.08,,2026-02-19T20:42:15.285981+00:00
B0DM6JVVJR,UK,2,"Hama CK-200 Wired Keyboard (USB Keyboard, Ergonomic Typing Feel, Quiet Keys, Removable Cable, German QWERTZ Layout, Multimedia Keys, Assist Key for AI",14.21,,14.21,,2026-02-19T20:42:15.285997+00:00
B0FHVS4B7D,UK,2,"YINDIAO ATTACK SHARK X820 Ultra Gasket Mechanical Keyboard with TFT Screen & Knob, 75% ANSI Layout, 2.4Ghz/BT/Wired, 5 Sound Absorbing Foams,Hot-Swap ",52.69,,52.69,,2026-02-19T20:42:15.286003+00:00
B01AUGT964,UK,2,"Logitech MK235 Wireless Keyboard and Mouse Combo for Windows, QWERTZ German Layout - Grey",13.0,,13.0,,2026-02-19T20:42:15.286010+00:00
B09B1VMTVX,UK,2,"Universal German Keyboard Stickers, German English Keyboard Replacement Sticker, with Black Background and White Lettering, for 10-inch to 17-inch Lap",5.58,,5.58,,2026-02-19T20:42:15.286016+00:00
B09JGB2XK7,UK,2,"RK61 Mechanical Gaming Keyboard, 60% Wireless Keyboard 2.4 Ghz/Bluetooth/USB-C RGB Backlit Switch Red Hot Swap Double-Shot ABS Keycaps Compatible with",,,,,2026-02-19T20:42:15.286021+00:00
B0CFFCC1L6,UK,2,"Trust Gaming GXT 835 Azor Gaming Keyboard with QWERTY UK Layout, LED Lighting, Game Mode, 12 Multimedia Keys, Anti-ghosting, Membrane Wired USB Keyboa",17.99,,17.99,,2026-02-19T20:42:15.286027+00:00
B09R1VZRFF,UK,2,KLIM Chroma Gaming Keyboard Wired USB - New - DE QWERTZ Layout - Durable Ergonomic Waterproof Silent - 2 ms Response Time - Backlit Keyboard for PC Ma,,,,,2026-02-19T20:42:15.286033+00:00
B0FPFPWJDB,UK,2,"YUNZII QL108 Typewriter Style Mechanical Gaming Keyboard，Full Size Hot Swappable RGB Backlit Keyboards, Metal Panel Retro Punk Round Keycaps，USB Wired",44.19,,44.19,,2026-02-19T20:42:15.286043+00:00
B0D1G1P4T5,UK,2,Trust Primo Keyboard Mouse Set Wireless German QWERTZ Layout Flat Keys Splashproof Ambidextrous Wireless Mouse One USB Receiver Wireless Keyboard for ,16.96,,16.96,,2026-02-19T20:42:15.286048+00:00
B0CM64HVKQ,UK,2,"KEMOVE K98SE Mechanical Gaming Keyboard, 98 Keys LED Backlit Computer Keyboard, 96% QWERTY US Layout, Wired Keyboard, Pre-Lubricated Red Switches",,,,,2026-02-19T20:42:15.286054+00:00
B077BT728N,UK,2,"Logitech K280e Pro Wired Business Keyboard, QWERTZ German Layout - Black",,,,,2026-02-19T20:42:15.286064+00:00
B07YG1VBGW,UK,2,The G-Lab Keyz Carbon-E RGB Mechanical Gaming Keyboard (Blue Switch) (Black),50.58,,50.58,,2026-02-19T20:42:15.286072+00:00
B0042BZWHE,UK,2,"Logitech K120 Wired Keyboard for Windows, QWERTZ Swiss Layout - Black",15.99,,15.99,,2026-02-19T20:42:15.286077+00:00
B0DWMX5TXV,UK,2,"RK ROYAL KLUDGE R98 Pro Mechanical Keyboard, 96% Wired Gaming Keyboard RGB Backlit with Number Pad and Volume Knob, Gasket Mount, MDA Profile US Layou",69.99,59.99,69.99,14.3,2026-02-19T20:42:15.286091+00:00
B0CPM1TB52,UK,2,"Trust Ymo II Quiet Keyboard Mouse Set Wireless German QWERTZ Layout, Flat Keys, Splashproof, Ambidextrous Wireless Mouse 800-1600 DPI, One USB Receive",21.64,,21.64,,2026-02-19T20:42:15.286097+00:00
B0DNMVC7SP,UK,2,"The G-Lab - Keyz Titanium - 65% AZERTY Gaming Keyboard, USB - Mechanical Switch Keyboard Red - RGB 100% Customizable, Anti-Ghosting, Programmable Macr",41.46,,41.46,,2026-02-19T20:42:15.286108+00:00
B08DDDVWWW,UK,2,"Trust Gaming GXT 835 Azor Backlit Keyboard, Spanish QWERTY Layout, LED Lighting, Wired Gaming Keyboard for Windows, Mac, PC, Computer, Laptop – Black",25.6,,25.6,,2026-02-19T20:42:15.286117+00:00
B0879KGWTY,UK,2,"Dell KM7120W, Wireless, Multimedia, Keyboard and Mouse Set, German (QWERTZ), Black",87.95,,87.95,,2026-02-19T20:42:15.286123+00:00
B0DGQ6CKNZ,UK,2,"CHERRY MX 8.2 TKL Wireless XAGA, Cordless Gaming Keyboard without NumPad, German Layout (QWERTZ), Bluetooth, 2,4 GHz & Cable, MX2A RED Switches, White",128.38,,128.38,,2026-02-19T20:42:15.286129+00:00
B0G4LZJ3XM,UK,2,"Akko 3108 V3 Mechanical Keyboard, USB Type-C Wired Keyboard, 100% Full Size US Layout, Hot Swappable, White Color RGB only, with PBT Double-Shot Keyca",50.39,,50.39,,2026-02-19T20:42:15.286135+00:00
B09BRDPYBW,UK,2,Apple Magic Keyboard - German,,,,,2026-02-19T20:42:15.286144+00:00
B0DFXV6ZPM,UK,2,"GravaStar Mercury,K1 75% Wireless Mechanical Gaming Keyboard, Aluminum Alloy Exoskeleton Design, Gasket Custom Keyboard Hot-Swap Socket, Linear Switch",129.95,,129.95,,2026-02-19T20:42:18.612784+00:00
B07N3D832F,UK,2,Zagg Universal Keyboard USB a wired KB German,6.99,,6.99,,2026-02-19T20:42:18.612806+00:00
B08KW8QHP2,UK,2,"MediaRange Wired keyboard, QWERTZ, white, MROS110",17.1,,17.1,,2026-02-19T20:42:18.612814+00:00
B0B96M3VB2,UK,2,"Redragon Mechanical Gaming Keyboard, Mechanical Keyboard with 105 Programmable Keys, Red Switches, Full Anti-ghosting RGB Ideal for Gaming, PC, Window",39.99,,39.99,,2026-02-19T20:42:18.612822+00:00
B0DJ6PCW72,UK,2,"RedThunder K20 TKL Wireless Gaming Keyboard, Adjustable RGB Backlight and Rechargeable Battery, Compact Design with QWERTY ES Layout and 6 Multimedia ",,,,,2026-02-19T20:42:18.612829+00:00
B01ARGX3NM,UK,2,"Logilink ID0019 Flexible Keyboard, PC/Mac, Keyboard German Layout",20.28,,20.28,,2026-02-19T20:42:18.612836+00:00
B0F1ZJSXB5,UK,2,Dell KB216 GERMAN Slim Office Multimedia Keyboard BLACK,19.99,,19.99,,2026-02-19T20:42:18.612846+00:00
B0FG85MKT1,UK,2,"MechLands Aula F75 75% Mechanical Keyboard Wireless, QWERTZ German Layout, Custom Creamy Gaming Keyboard with Button, RGB, Hot-Swappable, Reaper Linea",,,,,2026-02-19T20:42:18.612851+00:00
B0797FYB3K,UK,2,"Logitech MK540 Advanced Wireless Keyboard and Mouse Combo for Windows, QWERTZ German Layout - Black, (920-008675)",44.99,,44.99,,2026-02-19T20:42:18.612857+00:00
B0DQVHP2WH,UK,2,Trust Gaming GXT 871 Zora Italian QWERTY layout Mechanical keyboard,43.98,,43.98,,2026-02-19T20:42:18.612864+00:00
B0DYDPX4VH,UK,2,"AJAZZ AK820 Mechanical Keyboard, 75% Hot Swappable Wired Keyboard with Volume Control Knob, PBT Keycaps, Five-Layer Sound Insulation Pad, 82-Key Gamin",49.99,41.89,49.99,16.2,2026-02-19T20:42:18.612879+00:00
B07F59BY7L,UK,2,"Satechi Aluminum Bluetooth Keyboard with Numeric Keypad - For M2/ M1 MacBook Pro/Air, M2/ M1 iPad Pro/Air, M2 Mac Mini, iMac M1 (German Layout)",,,,,2026-02-19T20:42:18.612886+00:00
B0FHH6B58D,UK,2,"GXTrust 872 Xyra TKL Mechanical Keyboard Gasket Mount UK Layout, Hot Swappable Wired Gaming Creamy Keyboard 80%, RGB Backlit with Software, Custom Sof",69.99,57.18,69.99,18.3,2026-02-19T20:42:18.612894+00:00
B0B4VZW3BY,UK,2,"Dierya DK61se Mechanical Gaming Keyboard,60 percent Red Linear Switches,Ice Blue LED Backlit, Detachable USB-C Cable,Full-Key Rollover for Computer/PC",,,,,2026-02-19T20:42:18.612900+00:00
B0DGL6L5YX,UK,2,"NEWMEN GM611 Gaming Keyboard,60% Percent Mechanical Keyboard 61 Keys LED Backlit Anti-Ghosting Black Keycaps Wired Gaming Keyboard Qwerty for PC, Wind",15.57,,15.57,,2026-02-19T20:42:18.612918+00:00
B07YLZG1SK,UK,2,MSI Vigor GK30 clavier USB QWERTZ Allemand Noir,124.99,,124.99,,2026-02-19T20:42:18.612924+00:00
B00XYTTEAQ,UK,2,"Logitech K400 Plus Wireless Touch TV Keyboard With Easy Media Control and Built-in Touchpad, QWERTY Spanish Layout - Black",29.99,10.86,29.99,63.8,2026-02-19T20:42:18.612933+00:00
B0851CN3GC,UK,2,Trust Gaming GXT 835 Azor Gaming Keyboard Italian Layout QWERTY USB Anti-Ghosting Keyboard with LED Backlit RGB for PC Computer Laptop Mac - Black,24.6,,24.6,,2026-02-19T20:42:18.612940+00:00
B0D1Y99KDH,UK,2,"AULA F75 75% Wireless Mechanical Keyboard,2.4Ghz/Type-C/BT5.0 Gaming Keyboards,Advanced Structure,RGB Backlight,Hot Swappable Custom Keyboard for PC/M",67.91,,67.91,,2026-02-19T20:42:18.612948+00:00
B0FF9WN7R1,UK,2,"YUNZII B75 PRO Wireless Mechanical Keyboard,75% Gaming Keyboard Gasket Hot Swap Custom Keyboard with Knob,Pre-lubed Switches RGB,Bluetooth/Type-C/2.4G",61.59,,61.59,,2026-02-19T20:42:18.612956+00:00
B0DSZQK42Y,UK,2,"YUNZII AL68 Wireless Mechanical Keyboard,Full Aluminum CNC,60% Layout with Knob, QMK/VIA Software,Gasket Mounted,Hot Swappable,RGB Backlit,BT/2.4G/USB",110.99,,110.99,,2026-02-19T20:42:18.612963+00:00
B07W7K29YM,UK,2,"Logitech MK295 Silent Wireless Combo, QWERTZ German Layout - White",29.99,,29.99,,2026-02-19T20:42:18.612970+00:00
B09NQHF99G,UK,2,"Corsair K70 RGB PRO Wired Mechanical Gaming Keyboard (CHERRY MX RGB Red Keycaps, 8,000Hz Advanced Polling, Polycarbonate Keys, Soft Wrist Rest) QWERTY",304.33,,304.33,,2026-02-19T20:42:18.612978+00:00
B0C592RKDV,UK,2,"RedThunder K84 Wireless Keyboard and Mouse Set, QWERTZ DE Layout, Rechargeable Compact Keyboard, Ultralight Honeycomb Mouse for PC Mac PS5 Xbox Gaming",,,,,2026-02-19T20:42:18.612984+00:00
B09N9CY637,UK,2,"CHERRY STREAM KEYBOARD TKL, Wired Keyboard without Numeric Keypad, German Layout (QWERTZ), Quiet Keystrokes, Unique Typing Experience, Black",34.76,,34.76,,2026-02-19T20:42:18.612990+00:00
B0F63BK4ZB,UK,2,"Keychron K2 HE Wireless Custom Mechanical Keyboard - Hall Effect Magnetic Switch, Rapid Trigger, 2.4G/Bluetooth 5.2/USB-C, QMK/VIA, Aluminium & Wood, ",139.99,,139.99,,2026-02-19T20:42:18.612996+00:00
B0DGTK68JW,UK,2,Dierya DK63 Wireless Gaming Keyboard with Bluetooth/2.4G/Type-C Red Linear Mechanical Switch 60% Keyboard RGB Backlight 63 Keys Anti-Ghosting US Layou,32.29,,32.29,,2026-02-19T20:42:22.021307+00:00
B08KWBJCNM,UK,2,"MediaRange Wired compact keyboard with 78 ultra-flat keys, QWERTZ, black, MROS112",17.42,,17.45,,2026-02-19T20:42:22.021331+00:00
B0BHYRG6V8,UK,2,"Dierya DK68se Gaming Keyboard,60% Mechanical Keyboard with Red Linear Switch,Ultra-Compact Mini 68 Keys Anti-Ghosting,LED Backlight,US Layout for PC W",20.39,,20.39,,2026-02-19T20:42:22.021340+00:00
B07W4DHQJ6,UK,2,"Logitech G G413 TKL SE Mechanical Gaming Keyboard - Compact Backlit Keyboard with Tactile Mechanical Switches, Anti-Ghosting, Compatible with Windows,",44.99,38.57,44.99,14.3,2026-02-19T20:42:22.021355+00:00
B0CYTB34XC,UK,2,"Trust Gaming GXT 866 Torix Mechanical Keyboard Italian Layout QWERTY, Linear Huano Switches, RGB Lighting, Anti-Ghosting N-Key Rollover USB Keyboard G",59.0,,59.0,,2026-02-19T20:42:22.021370+00:00
B0DPRNP35D,UK,2,"MAMBASNAKE X ATTACK SHARK X66 65% Wireless Mechanical Keyboard with Knob, 66 Keys Gasket Hot Swap RGB Gaming Keyboard 60 Percent, BT/2.4G/USB-C, Linea",39.99,,39.99,,2026-02-19T20:42:22.021393+00:00
B09J88KM8L,UK,2,Contour Balance Keyboard | Wired Keyboard | QWERTZ Layout | Super Flat Computer Keyboard | Number Pad + Media Keys | For Home and Work | For Windows a,91.85,,91.85,,2026-02-19T20:42:22.021401+00:00
B0CPMBBMW1,UK,2,"Trust ODY II Silent Wireless German QWERTZ Keyboard, Flat Keys, Splash Resistant, 2.4GHz RF USB Receiver, Wireless Keyboard for PC, Laptop, Mac - Blac",20.06,,20.06,,2026-02-19T20:42:22.021408+00:00
B0D3GZYN1P,UK,2,"RK ROYAL KLUDGE R75 Wireless Mechanical Keyboard, 75% Percent Gaming Keyboard Gasket Mount Custom Keyboard US Layout RGB Backlit with Knob & PBT Keyca",79.99,75.99,79.99,5.0,2026-02-19T20:42:22.021417+00:00
B07FLYR1TG,UK,2,KLIM Chroma Gaming Keyboard QWERTZ GERMAN Wireless - High Performance - New Version - Chromatic Lighting Gaming Black RGB PC PS4 Windows Mac [ New Ver,,,,,2026-02-19T20:42:22.021423+00:00
B0CQKMKPZW,UK,2,"YINDIAO Ajazz AK820 Mechanical Keyboard with CNC Knob Control,75% ANSI Layout,81Keys Gasket Mount Wired Gaming Keyboard,5 Sound Absorbing Foam,Hot-swa",35.69,,35.69,,2026-02-19T20:42:22.021431+00:00
B07FHTJC1G,UK,2,Satechi Aluminum Wired Keyboard Full German space gray,,,,,2026-02-19T20:42:22.021437+00:00
B0FJ7Z9KGH,UK,2,MageGee Mechanical AZERTY Gaming Keyboard | 60% AZERTY Gamer Keyboard | Compact 69 Keys with LED Backlight | Mini Wired Keyboard with Red Switches for,,,,,2026-02-19T20:42:22.021444+00:00
B08KWBVK4Z,UK,2,MediaRange MROS113 Qwertz Keyboard with Cable White/Light Grey,7.67,,7.67,,2026-02-19T20:42:22.021450+00:00
B08DG6LBRN,UK,2,"Trust Taro Keyboard Layout QWERTY Spanish for Windows (Silent Buttons, Spill Resistant, 1.8 m Cable, USB Connection, PC/Laptop) Black",12.6,,12.6,,2026-02-19T20:42:22.021457+00:00
B01L6L44NU,UK,2,Logitech G 920-008086G213 Prodigy RGB Lighting USB Gaming Keyboard,64.99,,64.99,,2026-02-19T20:42:22.021465+00:00
B0CBPJN8BY,UK,2,"CHERRY KW 7100 MINI BT, Compact Multi-Device keyboard with 3 Bluetooth Channels, German Layout (QWERTZ), Flat Design, incl. Transport Pouch, Cherry Bl",36.35,20.99,36.35,42.3,2026-02-19T20:42:22.021473+00:00
B072KJDCL8,UK,2,"Logitech MK330 Wireless Keyboard and Mouse Combo, QWERTZ German Layout - Black",49.99,,49.99,,2026-02-19T20:42:22.021480+00:00
B0FCLXFQT5,UK,2,"Redragon K668 RGB Mechanical Gaming Keyboard Wired 105+4 Keys, Red Switches, Hot-Swappable Socket, Absorbent Foams, 2 Sets Mixed Keys, Spanish QWERTY ",,,,,2026-02-19T20:42:22.021486+00:00
B09Q3BBKNQ,UK,2,"Trust Gaming GXT 834 Callaz TKL Mechanical Gaming Keyboard with UK Layout, Compact Tenkeyless Design (80%), Outemu Switches, Multicolour LED Lighting,",19.89,,19.89,,2026-02-19T20:42:22.021493+00:00
B0F58SM5BT,UK,2,"NEWMEN GM325Pro Mechanical Keyboard,104 Keys Rainbow LED Backlit Wired Gaming Keyboards,Metal Panel ABS QWERTY Layout Gaming Mechanical Keyboard for W",19.99,,19.99,,2026-02-19T20:42:22.021500+00:00
B0DGTKTY75,UK,2,Dierya DK63 Wireless Gaming Keyboard with Bluetooth/2.4G/Type-C Red Linear Mechanical Switch 60% Keyboard RGB Backlight 63 Keys Anti-Ghosting US Layou,39.99,,39.99,,2026-02-19T20:42:22.021507+00:00
B07HCZNWYT,UK,2,"Mars Gaming MK218, German Layout, Gaming Keyboard with Full RGB Lighting, 9 Effects, H-MECH Technology, 12 Function Keys, Antighosting, Compact Design",,,,,2026-02-19T20:42:22.021513+00:00
B0FF9RVNCZ,UK,2,"YUNZII B75 PRO Wireless Mechanical Keyboard,75% Gaming Keyboard Gasket Hot Swap Custom Keyboard with Knob,Pre-lubed Switches RGB,Bluetooth/Type-C/2.4G",61.59,,61.59,,2026-02-19T20:42:22.021521+00:00
B00OCMRV40,UK,2,KeySonic Tastatur KSK-6231INEL - Kabelgebunden,111.08,,111.08,,2026-02-19T20:42:22.021527+00:00
B00F35N1KS,UK,2,"CHERRY KC 1000, Wired Keyboard, German Layout (QWERTZ), Plug & Play via USB Port, Flat Design, Whisper-Quiet Keystrokes, White-Grey",24.37,,24.37,,2026-02-19T20:42:22.021533+00:00
B0CRD5G38M,UK,2,"TECURS Mechanical Gaming Keyboard – Programmable Gamer Keyboard with Magnetic Wrist Rest, Red Switches, 19 LED Modes, Multimedia Keys, AZERTY Keyboard",,,,,2026-02-19T20:42:22.021543+00:00
B003UL1RGC,UK,2,"Logitech K120 Wired Business Keyboard, QWERTZ German Layout - Black",,,,,2026-02-19T20:42:22.021549+00:00
B09NQY2Y8R,UK,2,"TECURS KB510 Wireless Mechanical Gaming Keyboard PC RGB TKL AZERTY 65% Gaming Keyboard Bluetooth / 2.4G / Type-C Backlit, Anti-Ghosting Switches Red f",,,,,2026-02-19T20:42:22.021557+00:00
B0CS365B89,UK,2,"Newmen GM326 Mechanical Keyboard,Wired Gaming Keyboard,75% Percent TKL Hot Swappable Compact LED Backlit USB C Mechanical Gaming Keyboards with Knob f",22.79,21.35,22.79,6.3,2026-02-19T20:42:22.021566+00:00
B08ZNSJ152,UK,2,"Dell KM5221W, Pro Wireless, Keyboard and Mouse Set, German (QWERTZ), Black",39.99,,39.99,,2026-02-19T20:42:25.583571+00:00
B07DKJKM4T,UK,2,Mobility Lab ML311142 Wired Keyboard QWERTZ German Layout ideal for Mac - White/Silver,26.9,,26.9,,2026-02-19T20:42:25.583600+00:00
B00VHHWNMI,UK,2,"Logitech G K400 Plus Wireless Touch TV Keyboard With Easy Media Control and Built-in Touchpad, QWERTZ German Layout - Black",29.99,,29.99,,2026-02-19T20:42:25.583615+00:00
B0CJVHZP1W,UK,2,"NEWSKILL - SERIKE V2, Customizable Mechanical RGB Gaming Keyboard, Full Size, NewSwitch Linear Red Switches, QWERTY ES Layout, White",86.29,,86.29,,2026-02-19T20:42:25.583627+00:00
B07CMH9HDY,UK,2,"Redragon K552 60% Mechanical Gaming Keyboard RGB Backlit Wired with Red Switches for Windows Gaming PC, UK QWERTY (Black)",34.19,27.99,34.19,18.1,2026-02-19T20:42:25.583646+00:00
B0094QSF8U,UK,2,"Logitech Keyboard K120 for Business, ‎QWERTZ Swiss Layout - Black",,,,,2026-02-19T20:42:25.583660+00:00
B0DXL4PVH2,UK,2,"Speedlink ATMOS - mechanical RGB gaming keyboard 60%, wired, brown switches, robust steel plate, detachable USB-C cable, backlit, German layout QWERTZ",26.0,,26.0,,2026-02-19T20:42:25.583671+00:00
B07Y425Y2H,UK,2,"CHERRY STREAM KEYBOARD, Wired Keyboard, German Layout (QWERTZ), Whisper-Quiet Keystrokes, Unique Typing Experience, Flat Design, Black",53.47,,63.3,,2026-02-19T20:42:25.583682+00:00
B0F5GLYP96,UK,2,"TECKNET Bluetooth Keyboard, Rechargeable Wireless Keyboard for Windows and Android Smart TV, Italian QWERTZ Layout, Quiet and Ultra Thin",,,,,2026-02-19T20:42:25.583689+00:00
B07W5JJP7D,UK,2,Logitech G G512 USB Keyboard Italian Charcoal,109.99,,109.99,,2026-02-19T20:42:25.583697+00:00
B0863KR72L,UK,2,"B.FRIENDIT Aluminum Slim Backlit Keyboard Wired - UK Layout Compatible with Apple iMac, Macbook, Mac and PC, USB Keyboard Numeric Keypad RGB Backlit K",40.99,36.89,40.99,10.0,2026-02-19T20:42:25.583706+00:00
B003PAMIA2,UK,2,"Logitech K120 Wired Keyboard for Windows, QWERTZ German Layout - Black",15.99,,15.99,,2026-02-19T20:42:25.583714+00:00
B09L57Z1V3,UK,2,KROM PACK RGB TECLADO MEMBRANA Y RATON KALYOS,21.94,,21.94,,2026-02-19T20:42:25.583721+00:00
B08D9PZDGW,UK,2,"Trust Taro Wired Keyboard, Qwerty UK Layout, Quiet Keys, Full-Size, Spill-Resistant, 1.8 m Cable, USB Plug and Play, Keyboard for PC, Laptop, Mac - Bl",8.89,7.84,8.89,11.8,2026-02-19T20:42:25.583730+00:00
